Date,Currency,Amount,Address,Status
2016-07-09 22:03:12,BTC,5.01000000,1ArtuYuSyGMtXwn38naZZ82qa3WJ9gV6CU,COMPLETE
2016-07-09 18:56:13,NSR,5940000.00000000,SWxMEcQJmFpcQQug2SpA5ocZbpLVgta4tq,COMPLETE
2016-07-09 04:44:12,NSR,7000000.00000000,SWxMEcQJmFpcQQug2SpA5ocZbpLVgta4tq,COMPLETE
2016-07-08 22:40:01,BTC,4.84700000,1ArtuYuSyGMtXwn38naZZ82qa3WJ9gV6CU,COMPLETE
2016-07-07 23:21:47,BTC,4.06000000,1ArtuYuSyGMtXwn38naZZ82qa3WJ9gV6CU,COMPLETE
2016-07-06 16:55:50,NSR,5000000.00000000,SWxMEcQJmFpcQQug2SpA5ocZbpLVgta4tq,COMPLETE
2016-07-05 23:29:22,NSR,200000.00000000,SWxMEcQJmFpcQQug2SpA5ocZbpLVgta4tq,COMPLETE
2016-07-05 08:56:29,NSR,4000000.00000000,SWxMEcQJmFpcQQug2SpA5ocZbpLVgta4tq,COMPLETE
2016-07-01 03:06:52,NSR,7000000.00000000,SWxMEcQJmFpcQQug2SpA5ocZbpLVgta4tq,COMPLETE
2016-06-26 19:17:57,NSR,7964756.00000000,SWxMEcQJmFpcQQug2SpA5ocZbpLVgta4tq,COMPLETE
